Account_ID,City,Phone
AID-7675-55,Shannon,+55 (189) 761-2016
AID-1522-62,Carlow,+972 (143) 475-7680
AID-3933-06,Carlow,+30 (401) 576-3403
AID-1390-88,Carlow,+420 (645) 120-6803
AID-2512-35,Shannon,+387 (971) 772-4866
AID-8048-90,Carlow,+86 (614) 158-3067
AID-5988-12,Carlow,+1 (352) 225-7665
AID-5348-98,Naas,+1 (407) 992-5753
AID-4241-17,Carlow,+62 (292) 341-7558
AID-6098-17,Carlow,+234 (133) 141-1247
AID-2867-92,Carlow,+62 (642) 705-3967
AID-2776-05,Carlow,+504 (780) 747-4935
AID-5907-61,Carlow,+86 (526) 649-6333
AID-3008-72,Shannon,+86 (604) 531-8799
AID-4711-38,Carlow,+381 (598) 494-4373
AID-5776-28,Carlow,+81 (124) 491-8810
AID-1163-18,Carlow,+48 (541) 151-4252
AID-7085-43,Carlow,+670 (856) 477-7766
AID-6480-19,Carlow,+353 (390) 330-2760
AID-0609-19,Shannon,+7 (342) 922-7682
AID-2476-59,Carlow,+62 (730) 800-3817
AID-5067-39,Shannon,+351 (490) 287-3385
AID-7891-90,Shannon,+55 (291) 714-1114
AID-2820-23,Limerick,+86 (321) 755-3368
AID-4531-38,Carlow,+63 (927) 666-9280
AID-4077-13,Shannon,+57 (355) 452-1371
AID-7978-90,Lismore,+62 (668) 181-2322
AID-2278-75,Carlow,+385 (761) 387-9630
AID-1092-28,Shannon,+62 (964) 572-7873
AID-9968-43,Carlow,+55 (182) 123-9368
AID-4084-93,Carlow,+63 (574) 938-5606
AID-2288-39,Shannon,+966 (769) 925-5400
AID-5068-73,Shannon,+98 (569) 611-9949
AID-6616-62,Shannon,+86 (653) 547-1141
AID-8796-60,Carlow,+386 (733) 177-0245
AID-4698-42,Naas,+1 (949) 886-7840
AID-8524-46,Lismore,+39 (715) 965-7444
AID-9269-38,Carlow,+62 (744) 774-3505
AID-1937-28,Carlow,+86 (624) 295-3905
AID-8455-73,Shannon,+380 (172) 791-1060
AID-4885-67,Carlow,+380 (911) 933-1122
AID-9799-71,Shannon,+504 (259) 872-4583
AID-3934-15,Carlow,+55 (343) 902-4574
AID-7228-31,Naas,+355 (348) 163-8647
AID-1339-29,Carlow,+351 (451) 439-6869
AID-4599-77,Carlow,+381 (236) 730-3915
AID-8703-75,Shannon,+62 (922) 830-4318
AID-0728-30,Lismore,+55 (460) 483-1815
AID-2908-34,Naas,+86 (666) 339-9242
AID-6255-20,Carlow,+94 (875) 820-6663
AID-7442-13,Shannon,+237 (790) 336-0584
