Account_ID,City,Phone,Status
AID-6876-77,Cork,467-146-5229,Inactive
AID-3660-87,Cork,290-337-4647,Active
AID-1752-56,Galway,780-330-9172,Active
AID-4549-14,Galway,983-455-2951,Active
AID-6978-11,Cork,411-255-1439,Active
AID-7801-96,Swords,359-800-6485,Active
AID-1178-59,Cork,185-836-2417,Inactive
AID-0350-67,Swords,780-549-3978,Inactive
AID-1058-88,Cork,889-763-0929,Active
AID-2380-24,Cork,827-844-9936,Inactive
AID-9242-64,Dublin,415-519-2202,Inactive
AID-9039-96,Swords,456-338-0292,Active
AID-3139-43,Galway,476-448-2542,Active
AID-6405-57,Cork,368-901-2857,Active
AID-5146-07,Cork,511-939-0239,Active
AID-0889-25,Cork,724-146-3748,Active
AID-7648-68,Cork,893-282-3731,Active
AID-1588-94,Cork,670-894-3277,Active
AID-9389-61,Dublin,482-775-5369,Active
AID-3911-19,Swords,448-695-6160,Active
AID-0362-65,Limerick,694-579-7925,Active
AID-4609-97,Cork,999-396-0308,Active
AID-8863-01,Galway,987-974-8362,Active
AID-2921-45,Cork,859-351-6484,Active
AID-9733-37,Galway,324-386-5295,Active
AID-4862-60,Cork,288-403-7623,Active
AID-2467-58,Cork,477-611-6270,Active
AID-3002-87,Cork,964-521-8568,Active
AID-6603-02,Galway,692-263-8590,Active
AID-0311-44,Dublin,948-509-9859,Active
AID-3521-69,Galway,105-435-8798,Active
AID-9604-62,Swords,280-407-5340,Active
AID-8799-78,Cork,561-768-1585,Active
AID-3348-57,Cork,380-764-0305,Active
AID-4677-20,Dublin,223-178-5753,Active
AID-0680-91,Swords,517-108-5782,Active
AID-4558-92,Dublin,223-221-9597,Active
AID-1134-14,Cork,759-654-1319,Active
AID-4485-99,Swords,102-373-2579,Active
AID-6683-99,Galway,149-108-3909,Active
AID-7702-32,Galway,176-233-1463,Active
AID-1903-06,Galway,191-372-7151,Active
AID-8887-00,Cork,934-406-8003,Active
AID-1329-40,Galway,119-324-5768,Active
