Lead_ID,First_name,Last_name,Full_name,Gender,Date_of_Birth,Product_name,Product_ID,Account_Created_Date,Product_Category,faltu
LI-5592,Case,Meyer,Case Meyer,M,1990-01-12,"""Ultron""",BM-3108-tn,2020-03-09,"""Science and Technology""",0 days 00:00:30.846575342
LI-2601,Roselia,Burkart,Roselia Burkart,F,1990-02-12,"""Ultron""",RP-7792-nl,2020-04-26,"""Kitchen""",0 days 00:00:30.761643835
LI-6778,Pearl,Domesday,Pearl Domesday,F,1990-03-11,"""Ultron""",BM-5490-fb,2020-09-03,"""Science and Technology""",0 days 00:00:30.687671232
LI-0008,Giffard,Bottrell,Giffard Bottrell,M,1990-08-10,"""Ultron""",HC-2675-jh,2020-04-29,"""Science and Technology""",0 days 00:00:30.271232876
LI-3285,Gearard,McGoogan,Gearard McGoogan,M,1990-08-10,"""Ultron""",RP-4367-ky,2020-10-24,"""Kitchen""",0 days 00:00:30.271232876
LI-2823,Ashby,Rubenfeld,Ashby Rubenfeld,M,1990-10-13,"""Ultron""",RP-2970-ms,2020-06-26,"""Kitchen""",0 days 00:00:30.095890410
LI-7861,Ezri,Joffe,Ezri Joffe,M,1990-11-26,"""Ultron""",RP-5937-fb,2020-03-23,"""Science and Technology""",0 days 00:00:29.975342465
LI-1641,Saunder,Pllu,Saunder Pllu,M,1991-04-23,"""Ultron""",RP-3417-bd,2020-06-01,"""Kitchen""",0 days 00:00:29.569863013
LI-8065,Filberto,Mosco,Filberto Mosco,M,1991-06-08,"""Ultron""",BM-4147-iy,2019-03-12,"""Kitchen""",0 days 00:00:29.443835616
LI-5227,Andres,Woodham,Andres Woodham,M,1991-06-23,"""Ultron""",BM-9620-ko,2020-08-05,"""Science and Technology""",0 days 00:00:29.402739726
LI-3893,Erin,Snelling,Erin Snelling,M,1991-09-01,"""Ultron""",RP-8781-vx,2020-09-10,"""Science and Technology""",0 days 00:00:29.210958904
LI-0636,Julee,Faltin,Julee Faltin,F,1991-09-29,"""Ultron""",JS-3590-re,2020-10-14,"""Kitchen""",0 days 00:00:29.134246575
LI-5766,Graehme,Dearing,Graehme Dearing,M,1991-10-06,"""Ultron""",RP-1143-ir,2020-06-18,"""Art and Craft""",0 days 00:00:29.115068493
LI-8223,Giorgia,Davidzon,Giorgia Davidzon,F,1991-11-28,"""Ultron""",BM-7194-xo,2020-10-13,"""Kitchen""",0 days 00:00:28.969863013
LI-1265,Jayme,Riley,Jayme Riley,F,1992-01-28,"""Ultron""",BM-3821-mz,2020-01-31,"""Kitchen""",0 days 00:00:28.802739726
