Lead_ID,First_name,Last_name,Full_Name,Date_of_Birth,Account_Created_On,Product_Category,Product_Name,Product_ID
LI-0452-19,Tommie,Yezafovich,Tommie Yezafovich,13/03/1997,01/08/2020,Mystery Kit,Agyrap-S,HC-716007
LI-7548-45,Yalonda,Argyle,Yalonda Argyle,27/08/2005,04/09/2020,Knitting,Agyrap-S,BF-090744
LI-6276-61,Jojo,Seven,Jojo Seven,26/07/2006,24/04/2020,Mystery Kit,Anhee-C,RP-575308
LI-9973-88,Freddy,Pallister,Freddy Pallister,31/10/1997,16/12/2019,Mystery Kit,Apollo,BF-712266
LI-2399-16,Nicolis,Ranald,Nicolis Ranald,31/03/2001,23/10/2020,Mystery Kit,Agyrap-S,HC-945171
LI-7336-44,Ashly,Messitt,Ashly Messitt,31/12/2002,14/04/2020,Craft,Apollo,RP-173171
LI-0070-89,Modestine,Nockalls,Modestine Nockalls,27/10/2006,29/03/2020,Mystery Kit,Anhee-C,HC-002176
LI-3492-05,Frannie,Biaggelli,Frannie Biaggelli,10/03/2005,07/02/2020,Knitting,Agyrap-S,HC-544855
LI-7840-81,Joseph,McMenamin,Joseph McMenamin,10/03/1995,19/03/2020,Painting,Agyrap-S,BF-093778
LI-8166-37,Sigfrid,Byng,Sigfrid Byng,23/04/1995,17/09/2020,Food & wine,Agyrap-S,JS-025282
LI-3906-12,Emmett,Grocott,Emmett Grocott,26/04/2002,02/04/2020,Craft,Anhee-C,RP-112347
LI-0490-23,Haily,Slowan,Haily Slowan,06/11/2005,18/02/2020,Mystery Kit,Anhee-C,BF-375104
LI-5429-73,Andris,Rainton,Andris Rainton,04/09/2004,05/11/2019,Knitting,Agyrap-S,BF-215852
LI-5593-22,Luciano,Doumerque,Luciano Doumerque,06/05/1999,15/03/2020,Mystery Kit,Agyrap-S,BF-060467
LI-4139-93,Artemas,Senchenko,Artemas Senchenko,24/02/2000,20/08/2020,Mystery Kit,Apollo,JS-206479
LI-5963-92,Nevil,Von Hindenburg,Nevil Von Hindenburg,14/03/1997,13/12/2019,Mystery Kit,Phoenix,BF-039739
LI-3096-98,Annalise,Kilford,Annalise Kilford,08/04/2005,19/07/2020,Mystery Kit,Agyrap-S,BF-734147
LI-1979-00,Hillard,Wardle,Hillard Wardle,25/01/1998,02/07/2020,Knitting,Mark 50,JS-870091
LI-4313-90,Genni,Relfe,Genni Relfe,09/01/2005,23/12/2019,Painting,Agyrap-S,HC-811744
LI-2192-53,Gale,Beckworth,Gale Beckworth,15/07/2006,03/01/2020,Mystery Kit,Apollo,RP-537972
LI-5258-54,Christabella,Grix,Christabella Grix,09/10/2004,11/06/2020,Food & wine,Agyrap-S,BF-790146
LI-9230-57,Shepperd,De Hoogh,Shepperd De Hoogh,01/10/2000,05/11/2019,Knitting,Agyrap-S,BF-267328
LI-1369-26,Felicia,McCaughen,Felicia McCaughen,15/12/1996,07/12/2019,Kids,Agyrap-S,BF-218582
LI-4048-65,Kippie,Petroselli,Kippie Petroselli,21/07/2004,12/12/2019,Knitting,Aurora,BF-724466
LI-0799-90,Max,Van Son,Max Van Son,19/01/2004,20/11/2019,Knitting,Aurora,HC-380118
LI-7348-77,Irita,Leeburn,Irita Leeburn,29/01/2001,25/10/2020,Mystery Kit,Anhee-C,BF-204429
LI-8773-15,Orion,Ostick,Orion Ostick,25/12/1996,05/06/2020,Knitting,Agyrap-S,RP-516927
LI-0175-07,Morley,Burth,Morley Burth,24/02/2006,25/12/2019,Painting,Apollo,HC-572560
LI-6799-80,Ethelbert,Vergo,Ethelbert Vergo,22/02/1996,19/09/2020,Knitting,Agyrap-S,HC-739123
LI-5844-04,Saunderson,Puddan,Saunderson Puddan,15/07/2003,14/10/2020,Painting,Agyrap-S,RP-120309
LI-4471-46,Smith,Baudoux,Smith Baudoux,27/10/1996,19/08/2020,Mystery Kit,Apollo,JS-126858
LI-4480-54,Somerset,Salazar,Somerset Salazar,07/09/2002,19/03/2020,Knitting,Apollo,HC-815704
LI-4580-28,Romain,Maddams,Romain Maddams,05/12/2000,28/07/2020,Painting,Agyrap-S,RP-942402
LI-6752-61,Sukey,Dinsey,Sukey Dinsey,05/11/1998,27/09/2020,Knitting,Apollo,BF-088658
LI-9141-95,Kennan,Dunkerly,Kennan Dunkerly,08/03/1997,15/10/2020,Food & wine,Agyrap-S,HC-680291
LI-5332-50,Rafaellle,Rodbourne,Rafaellle Rodbourne,15/09/2005,30/06/2020,Knitting,Agyrap-S,BF-740874
LI-3923-99,Sam,Jollie,Sam Jollie,22/10/2007,24/12/2019,Mystery Kit,Agyrap-S,BF-262797
LI-8461-88,Garald,Spuffard,Garald Spuffard,15/12/2006,07/10/2020,Mystery Kit,Agyrap-S,HC-788537
LI-3902-86,Barrett,Draijer,Barrett Draijer,17/12/1998,03/02/2020,Knitting,Agyrap-S,JS-595659
LI-4061-14,Beitris,Naisbit,Beitris Naisbit,29/09/2001,28/11/2019,Mystery Kit,Apollo,BF-629944
LI-1493-06,Dennet,Bartolini,Dennet Bartolini,04/09/1999,20/07/2020,Mystery Kit,Apollo,RP-704699
LI-2159-76,Ryun,Unstead,Ryun Unstead,21/05/2001,07/06/2020,Knitting,Aurora,RP-608316
LI-7105-78,Fidelio,Dargue,Fidelio Dargue,20/10/1999,09/09/2020,Knitting,Apollo,BF-307679
LI-8857-04,Cathy,Samples,Cathy Samples,02/09/2005,15/10/2020,Mystery Kit,Aurora,JS-542845
LI-5088-30,Nadya,Flounders,Nadya Flounders,30/05/1998,01/07/2020,Mystery Kit,Proxima-C,BF-022325
LI-7119-84,Leonore,Mallalieu,Leonore Mallalieu,04/10/2006,14/01/2020,Knitting,Agyrap-S,RP-765140
LI-1491-99,Say,Craigmile,Say Craigmile,08/10/2000,22/10/2020,Knitting,Agyrap-S,HC-610341
LI-2006-51,Wylie,Kevane,Wylie Kevane,02/11/1998,27/03/2020,Mystery Kit,Apollo,BF-346030
LI-1843-91,Ronnie,Milby,Ronnie Milby,04/04/2005,30/06/2020,Painting,Agyrap-S,BF-490276
LI-2836-81,Jacqueline,McConnel,Jacqueline McConnel,15/11/2000,28/04/2020,Mystery Kit,Agyrap-S,JS-502510
LI-7773-09,Nara,Beresford,Nara Beresford,20/07/2002,12/04/2020,Knitting,Phoenix,HC-146819
LI-1404-83,Dalenna,Davydzenko,Dalenna Davydzenko,14/06/2003,18/03/2020,Knitting,Agyrap-S,BF-334324
LI-5815-22,Isabel,Milmore,Isabel Milmore,14/03/1997,01/07/2020,Knitting,Agyrap-S,BF-701370
