Lead_ID,First_name,Last_name,Full_name,Gender,Date_of_Birth,Product_name,Product_ID,Account_Created_Date,Product_Category
LI-5290,Queenie,Elgood,Queenie Elgood,F,27-03-2017,"""Kits Focal""",JS-1472-dn,24-10-2019,"""Kitchen"""
LI-0891,Larisa,O'Hoolahan,Larisa O'Hoolahan,F,29-01-1992,"""Ultron""",BM-4239-td,13-07-2020,"""Science and Technology"""
LI-0590,Anissa,Lafranconi,Anissa Lafranconi,F,21-10-2000,"""Jarvis""",BM-8148-qv,23-09-2019,"""Art and Craft"""
LI-9688,Giordano,Center,Giordano Center,M,10-03-2002,"""Jarvis""",JS-0086-or,08-07-2020,"""Kitchen"""
LI-6819,Ingunna,Bratcher,Ingunna Bratcher,F,16-02-2004,"""Jarvis""",RP-8216-hw,19-03-2020,"""Kitchen"""
LI-8528,Gelya,Haggar,Gelya Haggar,F,07-04-1996,"""Jarvis""",BM-7886-ad,31-05-2020,"""Kitchen"""
LI-3811,Olin,Doiley,Olin Doiley,M,29-04-1995,"""Ultron""",JS-6024-ot,09-09-2020,"""Art and Craft"""
LI-6051,Griffie,Gowman,Griffie Gowman,M,09-12-2015,"""Ultron""",RP-1299-ct,04-11-2019,"""Kitchen"""
LI-3616,Griswold,Luard,Griswold Luard,M,19-03-2015,"""Jarvis""",RP-2073-kl,29-01-2020,"""Science and Technology"""
LI-6927,Tanny,Retchford,Tanny Retchford,M,13-11-1997,"""Ultron""",BM-6141-xn,24-09-2020,"""Science and Technology"""
LI-0909,Alfred,Marler,Alfred Marler,M,28-01-2001,"""Ultron""",RP-7236-dh,18-09-2020,"""Kitchen"""
LI-7984,Conchita,Celes,Conchita Celes,F,25-12-2016,"""Jarvis""",RP-9394-nv,27-10-2020,"""Science and Technology"""
LI-2715,Nestor,Bennison,Nestor Bennison,M,18-09-2012,"""Jarvis""",BM-3498-nb,29-08-2020,"""Art and Craft"""
LI-6455,Timmy,Minichillo,Timmy Minichillo,M,22-10-2000,"""Jarvis""",HC-3115-bc,01-12-2019,"""Art and Craft"""
LI-3183,Ariana,Ewart,Ariana Ewart,F,11-01-2006,"""Jarvis""",RP-5567-yi,15-05-2020,"""Science and Technology"""
LI-2333,Gardy,Ventom,Gardy Ventom,M,08-05-1997,"""Jarvis""",RP-2502-vl,24-02-2020,"""Science and Technology"""
LI-5784,Frederico,Vidgeon,Frederico Vidgeon,M,25-09-1995,"""Jarvis""",RP-4661-os,20-04-2020,"""Science and Technology"""
LI-6819,Kenna,Karel,Kenna Karel,F,01-10-2004,"""Jarvis""",RP-6381-os,18-08-2020,"""Science and Technology"""
LI-9720,Moses,Proback,Moses Proback,M,26-09-2006,"""Ultron""",BM-1983-cx,09-08-2020,"""Art and Craft"""
LI-7978,Sapphire,Lovstrom,Sapphire Lovstrom,F,16-04-2001,"""Jarvis""",HC-1317-ph,23-06-2020,"""Kitchen"""
LI-7780,Morten,Spalls,Morten Spalls,M,22-01-2015,"""Ultron""",BM-1982-sr,30-08-2020,"""Art and Craft"""
LI-0195,Ileana,Faunt,Ileana Faunt,F,25-09-2006,"""Jarvis""",RP-4951-ge,15-06-2020,"""Kitchen"""
LI-2183,Lynette,Abeau,Lynette Abeau,F,12-09-2013,"""Jarvis""",BM-2763-oe,24-08-2020,"""Science and Technology"""
LI-5031,Lenette,Shackle,Lenette Shackle,F,02-09-1995,"""DIY Contrast""",JS-7417-cx,04-04-2020,"""Kitchen"""
LI-2456,Kathryne,Trevascus,Kathryne Trevascus,F,18-06-2014,"""Jarvis""",RP-7681-uj,01-10-2019,"""Kitchen"""
LI-9913,Cate,Fargie,Cate Fargie,F,07-06-2018,"""Jarvis""",HC-3423-zr,21-09-2020,"""Kitchen"""
LI-4559,Reube,Rubinowitz,Reube Rubinowitz,M,25-11-1996,"""Jarvis""",RP-0564-ei,14-04-2020,"""Kitchen"""
LI-3692,Tyler,Kunzler,Tyler Kunzler,M,08-04-1998,"""Jarvis""",RP-2949-dj,23-04-2020,"""Science and Technology"""
LI-7975,Frank,Brickdale,Frank Brickdale,F,15-02-1998,"""Jarvis""",RP-4645-jk,18-10-2020,"""Kitchen"""
LI-4979,Rolfe,Kelling,Rolfe Kelling,M,31-05-2010,"""Jarvis""",RP-9462-dt,02-12-2019,"""Science and Technology"""
LI-9799,Wilbert,Leggat,Wilbert Leggat,M,03-06-2001,"""Ultron""",RP-7159-no,01-04-2020,"""Science and Technology"""
LI-7571,Michale,Vanelli,Michale Vanelli,M,23-10-2008,"""Skynet""",RP-5410-eu,06-03-2020,"""Science and Technology"""
LI-2261,Ferdinand,Simoens,Ferdinand Simoens,M,07-04-2001,"""Skynet""",RP-8551-bz,08-01-2020,"""Science and Technology"""
LI-0299,Merola,Yosselevitch,Merola Yosselevitch,F,18-07-2004,"""Ultron""",JS-1781-bp,12-09-2020,"""Kitchen"""
LI-2148,Tabbie,Screech,Tabbie Screech,M,23-12-1994,"""Kits Focal""",BM-1230-du,28-04-2020,"""Kitchen"""
LI-2862,Minna,Stafford,Minna Stafford,F,01-10-2017,"""Ultron""",JS-0394-mr,24-12-2019,"""Science and Technology"""
LI-1233,Krystalle,Szymczyk,Krystalle Szymczyk,F,13-05-2014,"""Jarvis""",RP-9561-no,27-08-2020,"""Kitchen"""
LI-5238,Olivero,O'Criane,Olivero O'Criane,M,12-03-1991,"""DIY Contrast""",BM-6839-gn,09-05-2020,"""Science and Technology"""
LI-0338,Kaitlyn,Adie,Kaitlyn Adie,F,08-05-2015,"""Jarvis""",RP-9036-ms,11-05-2020,"""Kitchen"""
LI-3855,Brandyn,Richardet,Brandyn Richardet,M,01-10-2011,"""Jarvis""",RP-3719-pu,28-11-2019,"""Art and Craft"""
LI-4888,Janessa,Wein,Janessa Wein,F,21-10-2000,"""Jarvis""",RP-4735-ke,19-03-2020,"""Science and Technology"""
LI-5081,Gawain,Mueller,Gawain Mueller,M,17-08-2003,"""Kits Focal""",BM-0374-tq,31-05-2020,"""Art and Craft"""
LI-9986,Talyah,Elks,Talyah Elks,F,18-08-2020,"""Jarvis""",RP-3081-sc,07-06-2020,"""Kitchen"""
LI-6077,Marybeth,Barnewell,Marybeth Barnewell,F,18-06-2019,"""Jarvis""",RP-2805-bu,03-07-2020,"""Art and Craft"""
LI-5218,Gilli,Maass,Gilli Maass,F,14-03-2013,"""Jarvis""",RP-4000-qo,06-04-2020,"""Kitchen"""
LI-0252,Vidovik,Willars,Vidovik Willars,M,02-07-2006,"""Kits Focal""",RP-0101-py,20-05-2020,"""Science and Technology"""
LI-5089,Griffie,Rikkard,Griffie Rikkard,M,22-02-2016,"""Jarvis""",RP-1954-hc,17-11-2019,"""Kitchen"""
LI-5723,Brietta,Ribbens,Brietta Ribbens,F,30-07-2019,"""Skynet""",BM-8007-ay,23-01-2020,"""Science and Technology"""
LI-1064,Noell,Gloy,Noell Gloy,F,07-05-1995,"""Kits Focal""",JS-1309-ge,09-12-2019,"""Science and Technology"""
LI-2164,Rachele,Babin,Rachele Babin,F,14-10-2010,"""Jarvis""",BM-7664-im,15-01-2020,"""Science and Technology"""
LI-0143,Chen,Grinikhin,Chen Grinikhin,M,01-12-1994,"""Skynet""",RP-7670-cl,23-12-2019,"""Art and Craft"""
LI-7958,Georgiana,Gilks,Georgiana Gilks,F,29-09-2011,"""Ultron""",RP-9903-el,09-07-2020,"""Science and Technology"""
LI-7120,Leese,Donner,Leese Donner,F,01-03-2018,"""Skynet""",BM-4968-ou,23-09-2019,"""Science and Technology"""
LI-6655,Niki,Muro,Niki Muro,M,03-05-2012,"""Ultron""",HC-0965-ej,06-08-2020,"""Kitchen"""
LI-6829,Lily,Hillock,Lily Hillock,F,17-06-2020,"""Jarvis""",HC-5198-xw,28-01-2020,"""Art and Craft"""
LI-9661,Gilbertina,Hebron,Gilbertina Hebron,F,31-12-2001,"""Jarvis""",RP-1128-bp,22-02-2020,"""Kitchen"""
LI-6683,Amara,Brabyn,Amara Brabyn,F,04-08-2008,"""Kits Focal""",RP-9585-gd,16-09-2019,"""Art and Craft"""
LI-6274,Archibald,Gregoraci,Archibald Gregoraci,M,15-01-2005,"""Jarvis""",RP-4617-sj,14-10-2020,"""Art and Craft"""
LI-1345,Tildy,Normaville,Tildy Normaville,F,06-02-2009,"""Jarvis""",BM-2444-ht,10-04-2020,"""Science and Technology"""
LI-3393,Camille,Brands,Camille Brands,F,15-08-2010,"""Jarvis""",JS-3365-us,17-03-2020,"""Art and Craft"""
LI-4578,Augie,Petre,Augie Petre,M,10-04-2019,"""Jarvis""",BM-0755-cg,12-09-2019,"""Kitchen"""
LI-9825,Josefa,Newart,Josefa Newart,F,19-07-2010,"""Jarvis""",BM-5595-tw,10-04-2020,"""Art and Craft"""
LI-1800,Vicki,Udden,Vicki Udden,F,06-11-2001,"""Jarvis""",BM-7441-gv,05-06-2020,"""Kitchen"""
LI-0628,Adelheid,Byk,Adelheid Byk,F,08-01-1997,"""Skynet""",BM-8112-nq,20-06-2020,"""Kitchen"""
LI-3819,Tera,Heugh,Tera Heugh,F,10-12-1990,"""Jarvis""",HC-5148-qu,17-06-2020,"""Kitchen"""
LI-9069,Ahmad,Aslott,Ahmad Aslott,M,12-05-1993,"""Jarvis""",BM-7848-xc,18-08-2020,"""Science and Technology"""
LI-1241,Ambrosio,Girodier,Ambrosio Girodier,M,08-03-2008,"""Skynet""",JS-7130-dv,29-01-2020,"""Art and Craft"""
LI-1641,Saunder,Pllu,Saunder Pllu,M,23-04-1991,"""Ultron""",RP-3417-bd,06-01-2020,"""Kitchen"""
LI-2253,Meade,O' Reagan,Meade O' Reagan,F,20-07-2010,"""Jarvis""",JS-2222-kq,19-09-2020,"""Kitchen"""
LI-3560,Sophey,Happs,Sophey Happs,F,12-12-2013,"""Skynet""",RP-9211-zl,28-11-2019,"""Kitchen"""
LI-9532,Korey,Scholar,Korey Scholar,M,28-07-2006,"""Skynet""",RP-7475-ts,31-01-2020,"""Science and Technology"""
LI-8750,Jonathan,Otridge,Jonathan Otridge,M,04-03-2002,"""Skynet""",JS-0104-tm,12-02-2020,"""Science and Technology"""
LI-3029,Dore,Fautly,Dore Fautly,F,22-04-2004,"""Jarvis""",RP-8031-co,17-11-2019,"""Kitchen"""
LI-3171,Filide,Reader,Filide Reader,F,10-12-2000,"""Jarvis""",BM-2037-oh,30-06-2020,"""Kitchen"""
LI-6951,Nickie,Bosquet,Nickie Bosquet,M,30-11-2015,"""Jarvis""",RP-7566-wx,11-08-2020,"""Art and Craft"""
LI-3782,Constance,Walne,Constance Walne,F,16-06-2012,"""Jarvis""",JS-7202-ic,07-02-2020,"""Kitchen"""
LI-1758,Ignaz,Foulsham,Ignaz Foulsham,M,22-11-2015,"""Jarvis""",RP-1527-jv,10-10-2019,"""Kitchen"""
LI-1849,Ansley,Lappin,Ansley Lappin,F,26-10-2002,"""Jarvis""",RP-6921-au,01-10-2020,"""Kitchen"""
LI-5288,Dominic,Ajam,Dominic Ajam,M,17-01-1998,"""Ultron""",BM-4818-ld,19-10-2020,"""Kitchen"""
LI-1210,Cristine,Jager,Cristine Jager,F,14-06-1999,"""Skynet""",HC-8605-rz,06-11-2019,"""Art and Craft"""
LI-4580,Mortie,Noraway,Mortie Noraway,M,02-06-2000,"""Ultron""",RP-1203-iq,04-05-2020,"""Kitchen"""
LI-4208,Elaine,Becerra,Elaine Becerra,F,18-11-1998,"""Jarvis""",RP-1457-wj,18-12-2019,"""Kitchen"""
